year,0,1,2,3,4,5,6,7,8,9,10,11,annual,baseline,trendline
1967,41.0,42.1,41.4,45.3,53.7,61.9,63.4,67.1,62.2,52.6,44.8,39.4,51.2416666667,50.2552341598,50.3979756582
1968,38.8,44.8,46.4,46.8,54.3,58.2,64.6,61.5,57.9,49.8,44.5,35.5,50.2583333333,50.2552341598,50.4098707831
1969,30.5,39.3,44.4,47.9,56.4,62.9,61.8,60.4,58.4,49.8,44.4,41.9,49.8416666667,50.2552341598,50.421765908
1970,38.7,44.3,44.2,45.8,52.6,60.8,62.8,62.0,55.6,48.8,43.5,37.5,49.7166666667,50.2552341598,50.4336610328
1971,38.0,40.5,40.2,47.3,53.7,55.1,63.3,65.4,56.4,48.8,43.8,35.9,49.0333333333,50.2552341598,50.4455561577
1972,34.5,39.9,44.9,44.8,55.7,57.9,63.0,63.9,55.2,48.3,44.0,36.1,49.0166666667,50.2552341598,50.4574512826
1973,37.3,42.1,44.1,47.9,54.5,57.7,62.5,59.7,59.2,50.2,40.6,42.3,49.8416666667,50.2552341598,50.4693464074
1974,36.9,41.2,43.4,47.8,51.0,58.6,61.1,63.5,62.2,51.4,44.8,41.9,50.3166666667,50.2552341598,50.4812415323
1975,38.2,39.2,41.6,44.6,53.0,57.0,63.5,60.2,59.4,50.1,42.9,40.2,49.1583333333,50.2552341598,50.4931366572
1976,40.6,39.9,40.5,47.8,53.4,55.8,61.9,60.4,59.7,51.0,44.4,41.7,49.7583333333,50.2552341598,50.5050317821
1977,36.2,45.1,42.7,50.3,51.6,59.6,60.9,66.1,56.5,49.7,41.4,39.4,49.9583333333,50.2552341598,50.5169269069
1978,40.9,43.8,46.4,48.6,52.7,61.9,63.8,62.8,57.0,52.1,39.2,35.5,50.3916666667,50.2552341598,50.5288220318
1979,32.7,39.5,46.6,48.4,55.1,58.7,64.2,63.2,61.1,52.8,42.1,43.0,50.6166666667,50.2552341598,50.5407171567
