year,0,1,2,3,4,5,6,7,8,9,10,11,annual,baseline,trendline
1969,79.44,37.32,30.48,49.08,27.84,19.08,8.88,7.08,66.36,27.12,40.68,78.72,39.34,43.6641322314,44.0936245766
1970,95.76,34.32,34.2,52.92,18.48,10.08,10.92,4.92,37.44,43.2,66.72,101.76,42.56,43.6641322314,44.1243026013
1971,115.08,56.4,85.08,29.04,21.96,35.4,12.24,8.28,44.28,43.44,77.16,93.0,51.78,43.6641322314,44.1549806259
1972,81.84,86.04,83.16,63.48,13.2,29.04,24.6,16.44,51.12,14.76,48.12,118.2,52.5,43.6641322314,44.1856586506
1973,56.28,25.2,36.0,19.8,27.48,31.44,3.24,8.16,25.32,51.12,107.16,105.6,41.4,43.6641322314,44.2163366752
1974,113.76,66.48,74.16,42.24,35.28,18.84,27.36,2.4,7.2,20.64,75.6,91.44,47.95,43.6641322314,44.2470146999
1975,87.24,67.08,50.76,27.96,25.68,17.88,6.6,47.04,1.92,98.04,90.36,107.04,52.3,43.6641322314,44.2776927246
1976,81.48,66.24,49.2,34.08,30.12,19.44,14.76,39.0,18.24,27.72,18.72,38.28,36.44,43.6641322314,44.3083707492
1977,29.64,29.16,62.28,19.44,51.48,10.8,12.72,43.08,41.88,35.88,74.16,91.2,41.81,43.6641322314,44.3390487739
1978,61.44,44.04,39.24,44.4,32.88,16.08,19.44,27.84,67.68,14.28,69.36,38.52,39.6,43.6641322314,44.3697267985
1979,28.44,83.88,27.12,34.44,18.84,12.12,16.32,14.16,29.76,52.68,26.52,131.04,39.61,43.6641322314,44.4004048232
1980,53.04,68.88,50.04,43.56,22.68,37.32,11.04,16.44,28.8,14.52,100.8,93.72,45.07,43.6641322314,44.4310828479
1981,32.4,69.24,39.6,52.8,31.92,44.04,17.04,6.12,40.56,76.68,63.96,95.88,47.52,43.6641322314,44.4617608725
1982,91.32,93.6,48.84,41.28,10.68,14.88,20.88,14.52,25.8,56.04,63.24,95.64,48.06,43.6641322314,44.4924388972
1983,95.28,66.48,60.0,23.4,24.12,35.28,36.96,21.12,35.16,23.52,127.68,59.52,50.71,43.6641322314,44.5231169218
1984,77.04,55.56,58.68,40.08,59.88,41.52,1.68,10.08,30.12,48.96,109.92,67.44,50.08,43.6641322314,44.5537949465
1985,8.28,39.6,37.68,33.24,23.88,28.8,1.8,12.96,30.84,96.36,55.32,18.12,32.24,43.6641322314,44.5844729711
1986,99.6,60.6,38.64,38.88,39.6,14.76,21.48,1.68,32.88,41.04,109.8,50.16,45.76,43.6641322314,44.6151509958
1987,69.84,37.2,62.76,38.04,34.08,6.24,12.12,7.44,9.0,4.56,41.16,90.12,34.38,43.6641322314,44.6458290205
1988,49.44,23.4,68.4,51.12,46.2,24.12,11.64,6.48,29.64,38.64,105.0,56.76,42.57,43.6641322314,44.6765070451
1989,62.64,37.08,78.36,30.0,34.2,15.96,10.44,16.92,5.28,43.2,91.8,57.0,40.24,43.6641322314,44.7071850698
1990,111.48,70.08,40.68,37.68,30.72,42.84,8.76,19.32,4.08,78.6,141.96,65.88,54.34,43.6641322314,44.7378630944
1991,56.76,68.64,52.68,67.68,27.24,22.44,8.04,33.24,3.6,21.24,87.96,48.48,41.5,43.6641322314,44.7685411191
1992,94.44,44.64,18.6,55.2,7.8,23.04,18.72,12.24,29.16,29.76,80.16,55.8,39.13,43.6641322314,44.7992191437
1993,47.52,5.04,51.72,63.84,44.88,34.56,28.56,7.56,3.96,25.68,30.36,72.96,34.72,43.6641322314,44.8298971684
1994,41.64,63.96,44.28,34.32,18.24,26.64,7.32,5.4,22.32,56.76,83.28,97.2,41.78,43.6641322314,44.8605751931
1995,58.2,56.4,58.44,35.16,15.36,17.52,22.08,30.84,19.56,64.08,132.84,88.56,49.92,43.6641322314,44.8912532177
1996,84.0,89.16,25.92,74.52,48.24,10.68,11.4,11.4,37.32,77.28,82.44,130.8,56.93,43.6641322314,44.9219312424
1997,95.16,44.88,99.84,53.28,37.08,40.2,23.64,16.32,46.44,85.8,54.0,54.0,54.22,43.6641322314,44.952609267
1998,102.12,44.64,55.8,18.84,35.4,19.2,9.12,2.64,6.84,48.6,128.52,114.96,48.89,43.6641322314,44.9832872917
1999,102.48,109.08,64.2,23.64,34.56,33.12,17.64,16.56,5.16,47.04,116.04,84.12,54.47,43.6641322314,45.0139653164
2000,64.08,52.56,49.56,31.56,45.36,26.28,10.92,8.64,25.08,45.36,39.24,42.24,36.74,43.6641322314,45.044643341
2001,43.08,26.4,45.0,41.88,24.72,41.76,12.6,26.64,11.4,60.6,105.0,92.04,44.26,43.6641322314,45.0753213657
2002,93.12,52.8,54.48,42.12,25.56,20.76,9.84,3.48,11.64,12.48,43.68,75.24,37.1,43.6641322314,45.1059993903
2003,92.28,26.4,80.88,45.84,19.44,8.64,2.52,3.84,16.56,102.84,83.52,58.44,45.1,43.6641322314,45.136677415
2004,79.68,34.92,40.32,13.2,40.8,13.68,5.76,47.04,41.52,47.4,62.64,66.6,41.13,43.6641322314,45.1673554396
2005,56.88,18.48,52.32,53.4,39.24,28.08,14.28,9.24,20.52,52.92,70.8,85.08,41.77,43.6641322314,45.1980334643
2006,139.56,42.6,35.64,36.96,30.24,22.2,4.44,2.88,21.6,26.28,169.2,90.0,51.8,43.6641322314,45.228711489
2007,71.88,47.52,71.16,27.0,18.0,23.28,18.6,11.28,26.04,52.92,42.72,109.08,43.29,43.6641322314,45.2593895136
2008,60.12,37.2,57.36,32.4,21.0,27.0,8.04,32.88,9.48,33.6,93.48,61.2,39.48,43.6641322314,45.2900675383
2009,75.0,22.08,57.72,37.44,49.32,6.24,3.84,13.32,26.4,80.76,113.76,37.32,43.6,43.6641322314,45.3207455629
2010,78.24,41.76,49.56,49.68,53.04,38.88,4.08,12.24,55.32,50.88,66.12,96.72,49.71,43.6641322314,45.3514235876
2011,84.84,45.72,91.08,62.52,50.76,19.68,16.32,2.88,16.08,40.8,86.04,33.6,45.86,43.6641322314,45.3821016122
2012,74.76,60.24,89.64,49.32,36.72,42.48,18.72,0.6,2.04,84.6,95.88,100.56,54.63,43.6641322314,45.4127796369
2013,61.44,31.32,44.76,63.72,35.4,24.36,0.36,18.12,72.96,21.6,52.2,32.88,38.26,43.6641322314,45.4434576616
2014,57.0,72.12,105.72,48.84,41.28,16.44,12.36,17.52,33.24,83.88,71.64,76.44,53.04,43.6641322314,45.4741356862
2015,61.92,59.64,55.68,25.68,9.36,5.16,6.24,26.88,24.96,57.12,101.4,140.04,47.84,43.6641322314,45.5048137109
